@relation 'credit-Kaggle-weka.filters.unsupervised.attribute.Reorder-R10,9,8,7,6,5,4,3,1,2,11'

@attribute NumberOfDependents numeric
@attribute NumberOfTime60-89DaysPastDueNotWorse numeric
@attribute NumberRealEstateLoansOrLines numeric
@attribute NumberOfTimes90DaysLate numeric
@attribute NumberOfOpenCreditLinesAndLoans numeric
@attribute MonthlyIncome numeric
@attribute DebtRatio numeric
@attribute NumberOfTime30-59DaysPastDueNotWorse numeric
@attribute RevolvingUtilizationOfUnsecuredLines numeric
@attribute age numeric
@attribute SeriousDlqin2yrs {0,1}

@data
0,0,0,0,2,?,0,0,0.0015,30,?
4,0,0,0,1,4519,0.016593,1,0.337288,45,?
0,0,1,0,15,4637,1.260457,0,0.505314,58,?
0,0,0,0,6,4300,0.241107,0,0.257345,72,?
1,0,1,0,7,6000,0.310282,0,0.054248,37,?
0,0,2,0,6,?,2190,1,0.569182,44,?
0,0,1,0,12,8267,0.178761,0,0.031477,73,?
1,0,1,0,6,10533,0.166698,0,0.039955,59,?
1,0,3,0,17,8200,0.449579,0,0.003286,49,?
1,0,0,0,2,2500,0.27469,0,1,26,?
0,0,2,0,10,10788,0.337381,0,0.035687,75,?
2,0,1,0,15,10000,0.248975,0,0.06615,52,?
0,0,0,0,3,?,19,0,0.019044,75,?
0,0,3,0,22,14500,0.398317,0,0.044443,53,?
3,1,2,4,16,5301,0.824217,9,0.469322,55,?
0,0,1,1,8,?,2826,1,1,65,?
3,0,2,0,8,9064,0.41743,0,0.148514,50,?
0,0,1,0,7,1692,0.626108,0,0.137867,60,?
0,0,2,1,9,5003,0.161071,0,0,71,?
0,0,1,0,11,15,155.375,0,0.093866,51,?
1,0,0,0,4,?,932,0,0.482745,34,?
?,0,1,0,6,?,1587,0,0.158796,57,?
0,0,0,0,6,2037,0.219333,0,0.512498,24,?
0,0,4,0,12,?,4593,0,0,40,?
0,0,0,0,2,1100,0.006358,0,0.82392,57,?
2,0,3,0,21,8965,0.483939,0,0.198611,60,?
0,0,0,0,7,3000,0.17061,0,0,26,?
0,0,2,0,13,4313,0.461521,1,0.129039,48,?
0,0,1,0,9,8500,0.18986,0,0.309865,66,?
0,0,2,0,14,12000,0.251229,0,0.04463,67,?
?,0,1,0,6,?,1647,0,0,61,?
0,0,1,0,10,9450,0.265051,0,0.334826,38,?
0,0,0,0,5,6591,0.081766,1,0.203169,76,?
0,0,2,0,11,8583,0.272717,1,0.122073,64,?
4,0,4,0,7,4536,1.749614,0,0.221141,54,?
3,0,1,0,20,?,2421,2,0.048074,60,?
0,0,4,0,8,5314,1.01317,1,0,54,?
4,0,2,0,12,13000,0.271594,0,0.020298,39,?
1,0,1,0,22,3120,1.338033,0,0.560609,56,?
?,0,2,0,12,?,1393,0,0.077393,65,?
0,0,1,0,8,4623,0.418036,0,0.884528,52,?
0,0,0,0,5,2916,0.037024,0,0.064552,70,?
0,0,2,0,9,?,1532,0,0.068233,68,?
1,0,0,0,9,4334,0.287659,0,0.550778,40,?
1,0,0,0,7,9583,0.144616,1,0.359128,46,?
0,0,0,0,1,4036,0.081248,0,1,32,?
1,0,1,0,11,8000,0.634546,1,0.399366,58,?
?,0,0,0,3,?,520,0,0,24,?
0,0,0,0,4,?,1,0,0.001636,76,?
1,0,2,0,14,11083,0.283472,2,0.010014,69,?
0,4,0,2,5,0,723,3,1.159855,65,?
0,0,1,0,16,9246,0.157889,0,0.007069,51,?
1,0,0,0,5,2500,0.22431,0,0.262701,50,?
?,0,0,0,3,?,152,0,0.179622,68,?
1,0,0,0,1,4200,0.019281,0,0.542492,47,?
0,1,0,1,3,1800,0.234314,2,0.908367,35,?
3,0,4,0,15,11200,0.460316,0,0.318692,41,?
0,0,3,0,12,6600,0.449174,6,0.801846,66,?
2,0,0,0,5,6425,0.199502,1,0.84582,44,?
0,0,1,0,10,4333,0.180665,0,0.281155,51,?
0,0,0,0,6,10800,0.000185,0,0.005392,41,?
0,1,1,0,11,2626,0.369623,0,0.038776,53,?
0,0,2,0,10,3824,0.848366,0,0.548573,55,?
1,0,0,0,13,10000,0.227377,0,0.133747,65,?
2,0,0,0,6,8333,0.0048,0,0.021517,42,?
0,0,3,0,13,12500,0.238941,0,0,63,?
0,0,2,0,9,4000,0.748813,0,0.57207,36,?
1,0,0,0,10,8000,0.027747,0,0.083235,73,?
0,0,1,0,12,10000,0.108689,0,0.008802,62,?
0,0,1,0,12,5000,0.485503,0,0.166353,33,?
0,0,1,0,25,22916,0.187546,0,0.115368,32,?
0,0,1,0,5,?,1215,0,0.009582,66,?
0,0,2,0,3,?,1382,0,0,36,?
2,0,0,0,9,2700,0.116623,0,0.212394,48,?
0,0,0,0,11,8333,0.003,0,0.024912,61,?
0,0,1,0,5,6138,0.16387,0,0.196116,35,?
0,0,1,0,6,?,1045,0,0,61,?
0,0,1,0,6,684,1.40146,1,0.242219,56,?
5,0,1,0,16,8800,0.262016,0,0.150982,51,?
0,0,0,0,4,4916,0.002034,0,0.007778,76,?
0,0,4,0,7,10976,0.328323,0,0.439389,42,?
0,1,1,1,2,?,1287,1,0.99975,41,?
0,1,0,3,1,2000,0.121439,0,1,67,?
0,0,0,0,2,?,0,0,0,30,?
0,0,2,0,12,13750,0.25889,0,0.475673,55,?
1,0,1,0,17,3234,0.42102,0,0.027881,70,?
0,0,2,0,12,6937,0.468867,0,0.012466,58,?
0,0,1,0,12,?,1095,0,0.193354,58,?
3,0,2,0,12,11667,0.276654,0,0.107625,59,?
1,0,3,0,16,4247,1.064736,0,0.524109,51,?
2,0,1,0,8,3450,0.487395,0,0.594752,45,?
1,0,0,0,12,2600,0.129181,0,0.013374,54,?
1,0,1,0,7,5416,0.793982,0,0.167938,37,?
0,0,1,0,3,7083,0.161491,0,0.062931,50,?
0,0,0,0,10,1344,0.727881,0,0.434867,29,?
0,0,0,0,4,6106,0.036515,0,0.189185,60,?
0,0,2,0,12,4586,0.800959,0,0.957011,38,?
0,0,2,0,22,?,5637,0,0.313648,59,?
0,0,1,0,6,10000,0.20008,0,0.017445,55,?
2,0,0,0,6,3070,0.047542,1,0.797681,40,?
3,0,2,0,17,12132,0.460397,0,0.30047,43,?
0,0,0,0,11,925,0.008639,0,0.005809,46,?
1,0,2,0,10,8000,0.500062,0,0.129311,48,?
0,0,1,0,13,11700,0.387317,0,0.32177,34,?
0,1,0,0,6,7300,0.014519,0,0.048839,73,?
0,0,0,0,4,?,8,0,0.010226,66,?
0,0,1,0,31,4583,0.797557,0,0.669262,74,?
2,0,1,0,6,8170,0.257741,0,0.045045,54,?
0,0,0,0,10,2300,0.196436,0,0.121336,69,?
2,0,1,0,27,8500,0.327491,0,0.768013,44,?
0,0,0,0,1,?,50,0,0.102115,44,?
0,0,2,0,14,10000,0.225177,1,0.074043,62,?
0,0,0,0,5,?,429,0,0.060771,44,?
1,0,1,1,9,3780,0.260513,0,0.446845,28,?
0,0,2,0,11,5916,0.392429,0,0.093506,43,?
0,0,3,0,8,9500,0.231555,0,0.551307,59,?
2,0,1,0,7,9500,0.218188,1,0.649591,37,?
1,0,0,0,15,7200,0.219414,0,0.27909,50,?
3,0,2,0,7,6020,0.342136,1,0.391985,38,?
0,0,2,0,19,3523,1.886493,1,0.218933,53,?
0,0,0,0,5,5500,0.00709,0,0.04555,47,?
?,0,0,0,1,?,0,0,0,60,?
0,0,3,0,12,5280,0.777504,0,0.788721,48,?
?,0,0,0,2,?,20,0,0.257558,59,?
0,0,1,0,3,?,1978,0,0.044461,37,?
1,0,2,0,10,?,2523,0,0.066994,61,?
0,0,0,0,9,7442,0.004299,0,0,50,?
0,0,1,0,8,5720,0.287362,0,0.050677,69,?
0,0,1,0,7,2961,0.359554,0,1,67,?
1,0,0,0,7,8600,0.058249,0,0.09835,44,?
0,0,2,0,20,9305,0.356867,0,0.011538,51,?
0,0,0,0,4,2166,0.251961,0,0.054053,58,?
1,0,2,0,7,4584,0.331516,0,0.088756,55,?
2,0,0,0,10,2900,0.404343,2,0.816566,41,?
1,0,2,0,8,7550,0.36909,1,0.138583,51,?
0,0,2,0,4,6000,0.625396,0,0.028372,68,?
0,0,1,1,8,?,1808,3,0.957591,39,?
1,0,1,0,4,?,2528,0,1,70,?
0,0,1,0,2,?,646,0,0.001598,56,?
0,0,0,0,3,3600,0.119134,0,0.845436,36,?
0,0,0,2,4,?,427,2,1.253651,56,?
0,0,1,0,6,10000,0.19998,0,0.023924,58,?
0,0,2,0,12,5200,0.373005,0,0.02893,60,?
1,0,1,0,14,7400,0.143494,0,0.009139,59,?
1,0,2,0,11,4800,0.524474,0,0.631597,48,?
0,0,1,0,3,3362,0.366042,0,0.089596,56,?
2,0,1,0,6,8749,0.388114,0,0.40561,46,?
3,0,1,0,11,7738,0.451221,3,0.259584,61,?
1,0,1,0,4,18200,0.237185,0,0.694478,67,?
0,0,0,0,8,?,751,1,1.333333,27,?
0,0,1,0,17,13000,0.281748,0,0.823713,54,?
1,0,2,0,8,9399,0.473191,0,0.774541,50,?
?,0,0,1,3,?,89,1,0,74,?
0,0,0,0,6,?,0,0,0.000875,76,?
0,0,1,0,8,?,1383,0,0.188581,54,?
0,1,2,2,11,5248,0.57611,6,1.04505,52,?
3,0,1,0,5,1976,1.088518,0,0.912418,54,?
0,0,0,0,2,?,788,0,0.900808,46,?
1,0,1,0,12,5900,0.423826,1,0.788141,50,?
1,0,0,0,4,3500,0.009712,0,0.107021,48,?
0,0,0,0,3,1893,0.151003,0,0.08311,75,?
0,0,0,1,4,1080,0.053654,1,0.324032,29,?
1,0,3,0,6,?,3514,0,0.004148,57,?
0,0,3,0,5,10011,0.357471,0,0.941376,64,?
0,0,1,0,4,?,1567,0,0.087743,72,?
1,0,1,0,5,?,1151,0,0.047373,51,?
1,0,0,1,5,4300,0.286445,0,1,47,?
0,0,0,0,17,10500,0.001905,0,0.005213,81,?
0,0,2,0,9,5074,0.717833,0,0.951973,51,?
0,0,1,0,11,5000,0.205959,0,0.041123,60,?
0,0,0,0,9,8366,0.073623,0,0.081608,67,?
0,0,2,0,7,6050,0.578417,0,0.944002,57,?
0,0,2,0,7,?,2148,0,0.013602,45,?
0,0,0,0,8,4500,0.162408,0,0.120772,27,?
1,0,0,0,10,9083,0.060216,0,0.036765,62,?
1,0,1,0,13,?,1485,0,0.041513,74,?
0,0,0,0,5,11800,0.024574,0,0.025346,65,?
0,0,0,0,6,?,9,0,0.026804,91,?
0,0,0,0,2,?,127,0,0.025778,85,?
0,0,4,0,7,?,3719,0,0.993203,38,?
1,0,2,0,8,6000,0.54241,1,0.365298,58,?
0,0,1,0,11,?,1785,0,0.939378,63,?
3,0,2,0,8,0,2950,0,0.022166,49,?
0,0,3,0,8,10000,0.660034,0,0.421545,65,?
0,0,0,0,2,10200,0,0,0.011196,24,?
0,0,1,0,4,3500,0.342188,0,0.060792,35,?
3,0,1,0,13,6083,0.637245,0,0.221987,43,?
1,0,4,0,9,7250,0.663771,0,0.413989,33,?
0,0,0,1,6,5333,0.061492,1,1,39,?
2,0,1,0,9,5959,0.33255,0,0.05715,51,?
0,0,0,0,9,4642,0.155503,0,0.235466,47,?
?,0,0,0,0,?,0,0,1,76,?
0,1,0,0,4,3500,0.001714,0,1,41,?
0,0,1,0,6,?,867,0,0,81,?
0,0,4,0,5,13150,0.493423,0,0,54,?
1,0,1,0,10,4798,0.46468,4,0.311717,51,?
1,0,1,0,6,2408,0.581154,0,0.738984,59,?
2,0,0,0,12,5000,0.208558,0,0.0024,50,?
0,0,1,0,9,?,2217,0,0.531687,67,?
0,0,1,0,10,8183,0.326613,1,0.098163,52,?
0,0,1,0,6,2702,0.583796,1,1,37,?
2,0,1,0,7,5000,0.24935,1,0.495153,49,?
2,1,1,4,7,3725,0.408213,1,0.458071,58,?
2,0,5,0,22,15308,0.488601,1,0.344852,63,?
0,0,0,0,8,9500,10.366488,0,0.644499,56,?
0,0,1,0,5,?,1647,0,0.028353,39,?
0,0,1,0,5,11208,0.13284,0,0.005971,46,?
2,0,1,0,7,5942,0.321723,0,0.116628,34,?
0,0,4,0,18,7801,0.592925,2,0.378283,68,?
0,0,1,0,10,5270,0.162967,0,0.020577,47,?
0,0,1,0,9,4000,0.270432,0,0.228377,46,?
0,0,1,0,10,3950,0.299671,0,0.021484,56,?
1,0,2,0,18,7274,0.363436,0,0.384674,49,?
2,0,2,0,11,6083,0.343688,0,0.366884,37,?
0,0,1,0,6,?,2825,1,0.743485,60,?
0,0,3,0,10,9643,0.506947,1,0.413291,69,?
3,0,4,0,10,6154,0.564907,1,0.090194,35,?
0,0,0,0,6,2500,0.005198,0,0.011896,58,?
0,0,4,0,10,9583,0.487166,0,0.021195,63,?
3,0,3,0,8,13900,0.273002,0,0.329207,45,?
0,0,1,0,13,6926,0.210481,0,0.322111,54,?
2,0,0,0,1,6250,0.059191,0,1,42,?
1,0,1,0,12,3950,0.781574,4,0.985203,43,?
3,0,2,0,8,?,2692,0,0.000778,53,?
0,0,2,0,7,8028,0.218956,0,0.267456,69,?
2,0,2,0,12,12100,0.300967,0,0.03452,44,?
1,0,1,0,13,8500,0.356429,0,0.723379,64,?
1,0,2,0,4,6200,0.302209,2,0.426035,50,?
0,0,0,0,6,3329,0.152553,0,0.027148,69,?
0,0,0,0,3,?,11,0,0.009439,74,?
0,0,0,4,0,?,0,0,1,38,?
0,0,0,0,3,2166,0.217813,0,2159,73,?
0,0,0,0,5,3500,0.247644,0,0.536142,29,?
3,0,0,2,7,3000,0.415528,3,0.714107,37,?
0,0,1,0,12,?,1648,0,0.06178,35,?
0,0,1,0,11,5100,0.317977,0,0.029244,52,?
0,0,2,0,6,1568,0.922881,0,0.228562,55,?
0,0,2,0,12,4300,0.72983,0,0.343529,56,?
0,0,0,0,3,?,0,0,0,71,?
3,0,2,0,6,5400,0.393075,0,0.154042,35,?
0,0,2,0,9,10000,0.261374,0,0.004539,56,?
1,0,0,0,13,9441,0.225164,0,0.402445,53,?
1,0,1,0,2,5000,0.210958,0,0.134607,56,?
0,0,0,0,15,2000,0.018491,0,0.008716,65,?
0,0,2,0,8,6591,0.807342,0,0.005479,37,?
0,1,1,0,9,5230,0.210094,1,0.06768,49,?
1,0,0,0,2,3056,0.163232,1,0.78141,44,?
0,0,1,1,1,?,620,1,1,47,?
1,0,1,0,7,13039,0.420782,0,0.019965,50,?
0,0,1,0,16,112100,0.007993,0,0.000559,53,?
1,0,2,0,16,4500,0.504332,0,0.009588,69,?
1,0,1,0,12,13904,0.190795,0,0.03838,62,?
0,0,2,0,11,10252,0.524822,0,0.284245,51,?
1,0,0,0,9,5833,0.172609,1,0.312036,58,?
0,0,1,0,8,7166,0.060137,0,0.070726,58,?
1,0,1,0,7,?,1090,0,0.043307,68,?
2,0,1,0,15,7335,0.3994,0,0.56797,44,?
3,0,2,0,11,6667,0.573785,0,0.456351,45,?
1,0,2,0,12,8768,0.398449,1,0.037292,67,?
0,0,0,2,2,2429,0.146091,3,1,61,?
1,1,2,0,13,2200,0.974103,0,0.266915,47,?
0,0,5,0,19,?,10930,0,0.035586,63,?
0,0,1,0,6,3295,0.372876,0,0,33,?
2,0,1,0,8,2700,0.691225,0,0.028565,42,?
0,0,0,0,3,220,0.158371,0,0,25,?
2,0,2,0,13,?,2532,1,0.027397,55,?
0,0,1,0,14,6500,0.441932,0,0.23602,62,?
0,0,1,0,10,2800,0.425562,0,0.451695,58,?
2,0,0,4,8,9500,0.319966,2,1.213798,34,?
0,0,2,0,10,2201,1.358311,0,0.496749,60,?
4,0,1,0,8,1760,0.773424,1,0.384244,49,?
1,0,1,0,8,4082,0.269655,0,0.078248,52,?
2,0,7,0,13,4406,0.66712,0,0.424663,53,?
1,0,0,0,6,10000,0.144886,0,0.650024,49,?
0,0,1,0,10,3175,0.745907,0,0.169431,72,?
2,0,2,0,9,6000,0.635227,0,0.024023,56,?
2,0,4,0,10,5600,0.357258,0,0.14681,46,?
0,0,1,0,13,6900,0.835531,0,0.827586,50,?
1,0,0,0,4,2800,0.107105,1,0.007293,34,?
1,1,8,0,17,11200,1.408892,3,1.07189,53,?
0,0,2,0,5,2733,0.680322,0,0,42,?
0,0,1,0,8,7288,0.373851,1,0.532716,61,?
2,0,0,0,9,3880,0.338315,0,1.078921,35,?
1,0,2,0,8,16000,0.225798,1,0.088875,68,?
2,0,3,0,11,7000,0.760606,0,0.474858,46,?
0,0,0,1,1,1145,0.147469,0,1,32,?
0,0,1,0,15,3500,0.480434,0,0.037171,71,?
0,0,1,0,11,?,2730,0,0.378331,81,?
0,0,1,0,4,?,1932,0,0.002113,46,?
0,0,1,0,15,7575,0.18981,0,0.09468,66,?
0,0,1,0,11,4575,1.000874,0,0.307233,65,?
1,1,0,1,6,3316,0.169732,1,0.179829,45,?
1,0,0,0,5,4500,0.22906,0,0.272907,44,?
1,0,1,0,7,?,1343,0,0.085449,56,?
0,0,1,0,4,2656,0.451637,1,0.747873,68,?
2,0,1,0,9,8333,0.296496,0,0.066753,42,?
4,0,1,0,5,10085,0.288023,0,0.076406,39,?
0,0,1,0,10,?,3117,0,0.045806,74,?
1,1,2,0,5,?,2048,1,1,46,?
0,0,1,0,4,?,1442,0,0.113894,58,?
?,0,0,0,1,?,52,0,0,53,?
1,0,1,0,11,2733,0.455743,0,0.183965,66,?
0,0,2,0,8,4000,0.610847,0,0,59,?
0,0,2,0,19,?,3089,1,0.02238,72,?
2,0,4,0,12,13400,0.379897,0,0.199385,40,?
0,0,0,0,18,6886,0.236097,0,0.375222,44,?
3,0,1,3,7,5200,0.372428,2,0.505166,35,?
1,0,1,0,9,5259,0.456464,0,0.935132,50,?
1,0,2,0,21,8853,0.516829,0,0.356566,63,?
0,0,2,0,7,?,1542,0,0.045105,67,?
1,0,4,0,13,12788,0.393463,0,0.295484,51,?
0,0,0,0,13,3500,0.018566,0,0.020216,75,?
0,0,1,0,15,1550,1.92392,0,0.108877,26,?
0,0,0,0,6,1991,0.170181,0,0.10018,66,?
0,0,1,0,3,4642,0.341374,0,0.077811,65,?
3,0,2,0,9,?,3566,0,0.015393,43,?
0,0,0,0,5,4250,0.049871,0,0.832413,38,?
5,0,0,0,11,?,461,0,0.94537,36,?
0,1,0,0,5,2000,0.164918,1,1.025987,29,?
4,0,0,1,1,3600,0.057484,1,1,24,?
1,0,0,0,5,958,0.368092,0,0.007499,54,?
0,0,0,0,6,?,111,0,0.17942,52,?
0,0,0,0,6,?,345,0,0.056498,62,?
0,0,0,0,1,?,0,0,1,76,?
1,1,0,0,4,4200,0.165913,1,1,33,?
0,0,1,0,5,1,1291,0,0.368372,61,?
3,3,1,1,11,3800,0.621415,6,1.013703,46,?
0,0,2,0,8,4875,0.394791,1,0.000545,56,?
0,0,0,0,2,?,3,0,0.008628,75,?
0,0,0,0,3,4419,0.142534,0,0.592416,63,?
1,0,2,0,7,17000,0.2034,0,0.114715,59,?
3,0,0,0,6,4056,0.268671,0,1,33,?
4,0,3,0,13,18258,0.308177,0,0.703695,52,?
0,0,1,0,3,7386,0.309327,1,0.975003,57,?
2,2,0,2,1,4054,0.163748,0,1,32,?
0,1,1,1,13,6700,0.398746,0,0.0241,55,?
1,0,1,0,4,4456,0.18757,0,0.021849,64,?
0,0,0,0,12,2833,0.175018,0,0.901137,30,?
1,0,2,0,10,6250,0.578147,0,0.093358,39,?
1,0,1,0,6,6636,0.157451,0,0.035183,65,?
0,0,1,0,4,5000,0.443311,0,0.696341,63,?
0,0,1,0,6,8790,0.28404,0,0.225646,47,?
0,0,1,1,7,6250,0.295633,1,0.061431,43,?
3,0,2,0,7,7234,0.281133,0,0.091197,56,?
0,0,2,0,6,?,365,0,0.004883,64,?
3,0,2,0,10,7000,0.36052,0,0.242932,56,?
0,0,0,0,8,3916,0.195558,0,0.994976,41,?
0,0,0,0,10,5760,0.122027,0,0.174039,67,?
0,1,2,0,7,2500,0.611755,1,0.983202,60,?
0,0,0,0,11,3833,15.831247,0,0.261788,62,?
3,0,0,0,3,4166,0.069114,0,0.215569,51,?
0,0,1,0,9,3175,0.468199,0,0.973447,42,?
0,0,0,0,3,?,262,0,0.323482,26,?
1,0,2,0,10,7000,0.411084,0,0,58,?
0,0,0,0,5,2350,0.356019,0,0.160227,31,?
