@relation 'credit-Kaggle-weka.filters.unsupervised.attribute.Reorder-R10,9,8,7,6,5,4,3,1,2,11'

@attribute NumberOfDependents numeric
@attribute NumberOfTime60-89DaysPastDueNotWorse numeric
@attribute NumberRealEstateLoansOrLines numeric
@attribute NumberOfTimes90DaysLate numeric
@attribute NumberOfOpenCreditLinesAndLoans numeric
@attribute MonthlyIncome numeric
@attribute DebtRatio numeric
@attribute NumberOfTime30-59DaysPastDueNotWorse numeric
@attribute RevolvingUtilizationOfUnsecuredLines numeric
@attribute age numeric
@attribute SeriousDlqin2yrs {0,1}

@data
0,0,2,0,11,?,5808,0,0.169468,61,0
1,0,2,0,10,?,5174,0,0.128931,54,0
2,0,1,0,9,5200,0.294943,0,0.650035,47,0
0,0,1,0,4,?,709,0,0.002068,65,0
0,0,0,1,0,4166,0.159107,0,1,46,1
0,0,1,0,3,8200,0.206072,0,1,45,0
0,0,1,0,8,9867,0.271484,0,0.092782,40,0
1,0,1,0,14,20000,0.159442,0,0.005412,58,0
3,0,1,0,10,5990,0.264564,0,0.103415,37,0
4,0,2,0,12,10000,0.317068,0,0,58,0
0,0,2,0,27,4333,0.461467,0,0.105312,68,0
0,0,1,0,3,?,2343,0,0.035994,53,0
2,0,4,0,18,7650,0.555744,0,0.22283,47,0
2,0,2,0,4,9000,0.37918,0,0.497524,44,0
0,0,0,0,5,3600,0.00722,0,0.053762,28,0
0,0,2,0,12,110775,0.038005,0,0.404801,56,0
0,0,0,0,5,3000,0.001,0,0.000672,32,0
0,0,2,0,6,6060,0.748556,0,0.291791,61,0
0,0,0,0,23,6000,0.185302,0,0.096752,35,0
0,0,0,0,6,2500,0.020392,0,0.055958,68,0
0,0,2,0,12,7500,0.239035,0,0.532744,35,0
2,0,1,0,9,?,2175,0,0.249558,59,0
0,0,0,0,1,3520,0.00142,0,1,61,1
0,0,0,0,13,4000,0.219445,0,0.712165,52,0
3,0,3,0,9,8000,0.828021,0,0,38,0
0,0,0,0,4,3652,0.006844,0,0.144309,24,0
0,0,0,0,5,2000,0.423288,0,0.316715,83,0
0,0,2,0,10,3556,1.067191,0,0.427267,45,0
0,0,0,0,1,?,36,0,1,67,0
0,0,1,0,13,784,0.765605,0,0.082217,61,0
?,0,0,0,1,?,120,0,0.276533,32,0
4,0,1,0,15,8690,0.312392,1,0.641712,39,1
0,0,1,0,8,2016,0.54239,0,0.217778,27,0
0,0,0,0,9,4916,0.00183,0,0.003568,69,0
6,0,0,0,6,4814,0.196677,0,0.87351,50,1
0,0,0,0,4,?,21,1,0.029079,45,0
0,0,1,0,21,0,2507,0,0.342522,62,0
0,0,1,0,6,5565,0.42544,0,1.0014,30,1
0,0,1,0,9,6400,0.239806,0,0.041835,56,0
0,0,2,0,5,6199,0.264677,0,0.967379,43,0
0,0,0,0,8,3500,0.115396,0,0.000402,79,0
0,0,0,0,1,6741,0,0,0,39,0
0,0,0,2,1,3391,0.183962,0,1,56,1
1,0,1,0,7,?,2989,0,0.029557,68,0
1,0,2,0,16,6000,0.4021,0,0.000104,58,0
1,0,1,0,7,10000,0.294871,0,0.020652,44,0
0,0,0,0,1,4500,0.085759,0,1,55,1
1,0,0,0,3,4166,0.11951,0,0.087912,75,0
3,0,1,0,8,4700,0.4214,0,0.217993,42,0
4,0,2,0,14,6800,0.566534,0,0.899874,54,0
1,0,2,0,14,18500,0.267715,0,0.336342,60,0
0,0,0,0,1,?,47,0,0.316537,87,0
0,0,0,0,3,5100,0.051951,0,0.060267,27,0
0,0,1,0,7,?,1597,0,0.051043,48,0
2,0,0,1,11,4700,0.298447,0,0.705292,32,1
0,0,0,0,4,2600,0.332564,3,1.338645,48,1
1,0,2,0,11,7400,0.32928,0,0.644635,51,0
0,0,0,1,6,?,1114,2,0.179641,36,1
1,0,2,0,5,8166,0.698788,0,0.165902,40,0
0,0,1,0,6,?,2325,0,0.577724,59,0
0,0,1,0,4,1500,0.500333,0,0.176853,30,0
0,0,2,1,15,14166,0.383285,1,0.45882,54,1
3,0,2,0,12,13700,0.436319,1,0.310393,40,0
?,0,2,0,12,?,1499,0,0.03981,68,0
0,0,1,0,12,26660,0.160347,0,0.174713,44,0
0,0,2,0,8,6250,0.180771,0,0.034117,66,0
2,0,2,0,11,6500,0.542532,0,0.148478,46,0
0,0,1,0,9,?,3199,0,0.003689,31,0
0,0,1,0,14,?,1908,0,0.095246,41,0
0,0,1,0,9,?,664,0,0.089813,61,0
0,0,2,0,9,10666,0.333083,0,0.124142,59,0
0,0,0,0,0,2500,0,0,1,52,1
1,0,1,0,5,5300,0.172798,0,0.081615,49,0
1,0,0,0,5,5563,0.130661,0,0.560315,48,1
0,0,0,0,2,10000,0.028797,0,0.727115,49,0
0,0,2,0,6,?,2556,1,0.083777,39,0
0,0,0,0,8,2160,0.458121,0,0.27934,42,0
2,0,3,0,17,14432,1.241461,1,0.934521,58,1
0,0,1,0,12,?,476,0,0,63,0
0,0,0,0,14,5000,0.35033,1,0.883422,69,1
0,0,1,0,3,7200,0.191362,0,0.057712,70,0
1,0,0,1,5,2678,0.315043,1,0.920669,46,1
1,0,1,0,8,3019,0.856291,0,1,59,1
0,0,0,0,0,1200,0,0,1,21,1
1,0,2,0,25,10390,0.356751,0,0.576674,56,0
0,0,1,0,13,4345,0.636908,1,0.167747,48,0
1,0,1,0,5,10000,0.209379,0,0.044998,43,0
2,0,4,0,16,25000,0.356626,0,0.05148,48,0
0,0,0,0,7,6000,0.152475,0,0.103745,34,0
0,0,2,0,12,?,3611,0,0.015553,35,0
0,0,0,0,5,6000,0.005999,0,0.32883,37,0
1,0,1,0,10,15000,0.272715,0,0,70,0
3,0,1,0,9,9580,0.526667,0,0.331633,57,0
0,0,0,0,23,3908,0.458429,0,0.100264,43,0
2,0,2,0,8,8500,0.528644,0,0.805256,47,1
1,0,1,0,10,4600,0.142143,0,0.005486,57,0
0,0,0,0,6,8767,0.062272,0,0.050385,78,0
2,0,0,0,1,4350,0.017697,1,1.85782,43,1
0,0,0,0,6,1400,0.235546,1,0.917344,30,1
0,0,2,1,9,3201,1.116802,0,0.402113,54,1
0,0,1,0,6,6000,0.456424,0,0,44,0
0,0,2,0,16,3300,0.401394,1,0.10654,66,0
0,0,2,0,4,?,911,0,0,30,0
1,0,1,0,11,17216,0.117674,0,0.056297,50,0
2,0,1,0,5,2100,0.842932,0,0.119854,40,0
0,0,1,0,11,8000,0.230346,0,0.424011,53,0
0,0,2,0,10,3738,0.511367,0,0,64,0
2,0,1,0,12,?,3781,0,0.159581,50,0
0,0,0,0,13,?,23,0,0.006028,71,0
?,0,0,0,1,?,0,0,0,54,0
2,0,2,0,12,8333,0.404128,0,0.268246,44,0
0,0,2,0,7,?,1796,0,0.236751,63,0
0,0,0,0,3,7000,0.079417,0,0,36,0
0,0,1,0,28,7010,0.218371,0,0.031932,60,0
0,0,0,0,8,3200,0.206498,0,0.012041,60,0
1,0,1,2,14,5800,0.443372,2,0.822202,39,1
0,0,2,0,16,14166,0.193548,0,0.043153,65,0
0,0,0,6,4,?,866,1,0.713147,55,1
0,0,1,0,4,?,2059,0,0.015799,42,0
0,0,2,0,10,4500,0.393468,0,0.253171,54,0
0,0,0,0,8,5000,0.165167,0,0.448769,40,0
0,0,3,0,9,12724,0.593556,0,0.144244,65,0
1,0,3,0,10,?,5213,0,0.208967,50,0
6,0,1,0,7,?,1475,0,0.402925,35,0
0,0,3,0,13,6700,0.556186,0,0.49396,44,0
0,0,0,0,8,4500,0.010664,0,0.105146,62,0
0,0,1,0,8,3370,0.52833,0,0.058642,51,0
1,0,2,0,12,13500,0.383157,0,0.038443,64,0
0,0,1,0,9,2700,0.95298,1,0.203728,30,1
1,0,1,0,13,1700,0.982363,1,0.620553,52,1
2,0,0,0,5,5333,0.234533,0,0.459261,39,0
2,0,1,0,5,7000,0.315812,0,0.066644,32,0
0,0,0,0,3,?,4,0,0.005225,86,0
2,0,1,0,3,7315,0.085566,0,0.197016,29,0
2,0,3,0,11,4333,0.519843,0,0.199066,33,0
0,0,0,0,3,4170,0,0,0,41,0
2,0,1,0,14,16666,0.289854,0,0.132493,47,0
2,0,1,0,11,3427,0.45916,0,0.019884,39,0
0,0,0,0,6,11132,0.054702,0,0.228962,49,0
0,0,0,0,9,10000,0.010599,0,0.042405,60,0
0,1,0,0,4,5412,0.076852,0,0.557827,27,1
1,0,2,0,10,9300,0.277067,0,0.251591,46,0
0,0,1,2,5,?,1991,0,1,58,1
0,0,1,0,9,4250,0.569513,1,0.254976,37,0
0,0,1,0,4,?,914,1,0.115993,47,0
0,0,3,0,4,8583,0.297996,0,1,49,0
0,0,0,0,5,?,35,0,0.030868,83,0
3,0,0,0,8,6997,0.08974,0,0.068454,48,0
1,0,0,0,6,2726,0.211588,3,0.90295,76,1
2,0,2,0,10,5900,0.437045,0,0.000405,34,0
2,0,2,0,9,5266,0.537877,0,0.223494,53,0
0,0,2,0,23,12903,0.240778,0,0.085377,60,0
0,0,0,0,0,?,57,0,1,31,1
1,0,0,0,3,2530,0.060846,0,0.044758,49,0
0,1,1,0,6,?,1504,1,0.978912,55,1
0,0,0,0,6,?,12,0,0.025832,34,0
2,0,3,0,9,5000,0.509698,1,0.132325,57,0
2,0,2,0,12,11250,0.382899,0,0.822449,36,0
1,0,1,0,5,3500,0.400743,0,0.24104,40,0
1,0,1,0,9,6666,0.117894,0,0.008558,72,0
0,0,0,0,5,5000,0.0022,1,0.009669,93,0
0,0,1,0,6,4166,0.678426,0,0.938806,29,1
2,0,0,0,6,6000,0.156807,0,0,30,0
1,0,1,0,13,6634,0.590053,0,0.901342,59,0
3,0,1,0,11,5600,0.331726,0,0.658606,41,0
0,0,2,0,3,?,4255,0,0.014812,49,0
0,0,1,0,9,5300,0.343897,1,0.194995,51,0
0,0,2,0,9,5156,0.547411,0,0,65,0
?,0,0,0,9,?,18,0,0.009842,72,0
2,0,2,0,9,?,5020,0,0.693061,62,0
1,0,0,0,7,6218,0.051938,0,0.988204,46,1
1,0,0,0,11,3003,0.388149,1,0.449417,64,0
0,0,1,0,8,?,1290,0,0.075097,52,0
3,0,2,0,7,9483,0.132855,0,0.270526,47,0
4,0,2,0,8,11000,0.356968,0,0.435251,47,0
0,0,0,1,0,1000,0.017982,0,1,29,1
0,0,0,0,1,?,65,0,1,40,1
4,0,0,0,2,3100,0.193486,0,1,28,1
0,0,1,0,14,?,2433,0,0.020957,53,0
1,0,0,1,2,4400,0.017042,1,1.215407,55,1
0,0,0,0,17,2110,0.599716,0,0.232935,66,0
0,0,2,0,15,8950,0.70048,0,0.189488,63,0
0,0,1,0,11,15700,0.275779,0,0.449884,72,0
1,0,2,0,11,5416,0.328226,0,0.237354,33,0
2,0,0,0,4,4000,0.297676,0,0.465049,36,0
0,0,1,0,5,5800,0.40493,0,8497,28,0
0,0,1,0,13,?,3170,0,0.103747,59,0
0,0,1,0,3,0,1658,0,0.173929,29,0
0,0,0,0,10,4025,0.137606,0,0.00851,54,0
0,0,1,0,7,3155,0.286439,0,0.232467,57,0
0,1,0,1,12,?,727,2,0.823416,55,1
3,0,0,0,13,7500,0.048927,3,0.079688,53,1
0,0,1,0,15,5500,0.43792,0,0.005657,61,0
0,0,1,0,7,7333,0.228797,0,0.004599,75,0
0,0,1,0,17,10500,0.280069,0,0.010416,62,0
1,0,2,0,23,20000,0.509725,0,0.669986,60,0
0,0,2,0,11,2520,0.843713,0,0.252264,64,0
0,0,1,0,7,6700,0.447247,0,0.272667,62,0
3,0,1,0,4,5600,0.424924,1,1,40,1
1,0,0,0,9,7500,0.003066,0,0.006257,79,0
0,0,2,0,29,4749,0.793263,0,0.012268,59,0
2,0,1,0,4,8966,0.184008,0,0.917756,47,1
2,0,1,0,11,3300,0.937595,0,0.354331,44,0
0,0,0,0,4,2557,0.001173,0,0.018497,26,0
0,0,0,0,8,4000,0.103224,0,0.519786,54,0
0,0,0,0,10,25000,0.00264,0,0.023541,86,0
?,0,0,0,1,?,31,0,0.149407,30,0
1,0,0,0,0,2260,0,0,1,51,1
0,0,2,0,13,5650,0.664307,0,0.259501,54,0
0,0,0,0,6,4333,0.165205,0,0,30,0
0,0,0,0,11,?,8,0,0.005739,92,0
?,0,1,0,4,?,1432,0,0.016181,57,0
1,0,1,0,7,2000,0.696652,0,0.04799,43,0
0,0,0,0,2,2950,0.069129,0,1,24,1
3,0,1,0,9,24200,0.105037,0,0.064007,52,0
0,0,1,0,14,3166,0.552258,0,0.101073,69,0
?,0,2,0,9,?,1967,0,0.900273,28,0
0,0,0,0,7,2889,0.181315,1,0.782759,61,1
0,0,5,0,7,8963,0.778447,0,0,39,0
0,0,1,0,10,4694,0.404899,1,0.386469,45,0
0,0,1,0,7,7203,0.986952,0,0.936446,81,0
0,0,2,0,8,5300,0.473496,0,0.039642,76,0
2,0,1,0,8,6800,0.401559,0,0.158858,39,0
2,0,0,0,7,7500,0.038395,0,0.30853,35,0
1,0,2,0,9,3190,0.64964,2,0.255818,44,1
0,0,2,0,4,6994,0.273481,0,0.038928,31,0
0,0,0,0,9,2220,0.370104,1,0.298302,56,0
0,0,0,0,5,5500,0.243047,0,1.000923,51,0
0,0,1,0,5,6060,0.22554,0,0.419598,40,0
2,0,1,0,17,8347,0.695736,0,0.944838,52,1
0,0,0,0,20,3900,0.165342,0,0.309758,62,0
0,0,2,0,10,5375,0.594308,0,0.046058,38,0
0,0,0,0,11,7000,0.065419,0,0.50186,48,0
0,0,2,0,8,?,2325,0,0.061582,62,0
1,0,2,0,7,5800,0.673677,0,0.283421,38,0
0,0,0,0,4,74872,0.000321,0,0.023269,42,0
0,0,0,1,10,1216,0.865242,0,0.8726,65,1
0,0,0,0,9,3583,0.164342,0,0.286207,37,0
0,0,1,0,14,2408,1.106268,0,0.335242,72,0
0,0,0,0,2,?,0,0,0,59,0
1,0,1,0,4,3699,0.575946,0,0.251759,40,0
0,0,2,0,10,5066,0.659957,0,0.431563,50,0
1,0,1,0,11,5100,0.481278,0,0.454848,40,0
1,0,0,0,5,2000,0.213893,1,0.793698,54,1
0,0,0,0,10,?,241,0,0.007076,42,0
0,0,0,0,0,?,0,0,1,36,1
0,0,3,0,16,?,2209,0,0.035343,86,0
2,0,1,0,4,1,2878,0,0,54,0
1,0,2,0,10,8600,0.264155,0,0.027166,67,0
0,0,0,0,6,11000,0.061813,0,0,60,0
0,0,0,0,14,3467,0.072953,0,0.023695,78,0
0,0,2,0,15,11999,0.1105,0,0.016155,57,0
0,0,1,0,8,7442,0.34341,0,0.826507,64,0
0,1,1,0,10,?,2994,0,0.822326,45,1
0,0,0,0,5,?,1,0,0.001333,52,0
0,0,1,0,5,5571,0.397344,0,0.809274,60,0
0,0,1,0,7,5950,0.432196,3,0.527577,47,1
0,0,0,0,1,1516,0.161503,0,1,57,1
2,0,1,0,11,?,3253,1,0.699389,42,1
4,1,1,1,7,0,2486,1,1,37,1
0,0,2,0,7,9820,0.333062,0,0.050108,42,0
0,1,2,0,7,?,6521,0,0.797311,47,1
0,0,1,0,7,?,1248,0,0.039286,67,0
0,0,1,0,6,4416,0.431062,0,0.402186,35,0
3,0,1,0,5,6291,0.382231,1,0.235063,47,0
2,0,1,0,7,4000,0.326918,0,0.006308,47,0
0,0,0,1,8,?,234,0,1,35,1
2,0,0,0,1,3000,0.102966,0,1,36,1
0,0,1,0,13,?,2590,0,0.027146,63,0
0,0,0,0,4,2916,0.164895,0,0.795436,69,0
2,0,1,0,10,?,2583,1,0.147528,36,0
1,0,2,0,7,6400,0.580222,0,0.456954,48,0
0,0,1,0,4,?,1318,0,0.05361,65,0
0,0,0,0,6,7069,0.002687,0,0.015011,84,0
0,0,3,0,8,4819,0.678216,0,0.00635,65,0
2,0,2,0,6,7782,0.405756,1,0.691544,58,0
0,0,2,0,17,3500,0.530706,0,0.114662,56,0
0,0,1,0,8,4000,0.475381,0,0.820489,26,1
0,0,2,0,4,?,2446,0,0.048674,64,0
?,0,0,1,6,?,351,0,1.401089,22,1
2,0,1,0,5,?,1304,0,0.593907,38,0
0,0,1,0,13,7667,0.188185,0,0.057572,40,0
1,0,2,0,15,4859,0.71358,1,0.169833,53,0
0,0,1,0,6,?,2843,0,0,61,0
0,0,2,0,16,?,4630,0,0.841253,49,0
2,0,1,0,13,7193,0.308034,0,0.332712,39,0
3,0,2,0,7,6666,0.39703,2,0.481213,50,1
1,0,0,0,19,5313,0.492473,0,0.622952,38,1
0,0,1,0,8,4420,0.411219,0,0.223382,62,0
1,0,2,0,5,4200,0.929303,0,1,69,0
0,0,0,0,2,4000,0.017496,0,0.135535,33,0
0,0,1,0,16,3600,0.499306,0,0.005553,60,0
6,0,1,0,15,17010,0.261243,1,0.272082,47,0
2,0,1,0,8,3233,0.343228,0,0.496631,38,0
0,0,0,0,5,5000,0.002799,0,0.007255,76,0
0,0,1,0,10,?,1456,0,0.391878,61,0
0,0,2,0,9,4550,0.636563,1,0.350068,46,1
2,0,1,0,10,2741,0.982495,0,0.350029,42,0
0,0,1,0,11,?,2504,0,0.095339,62,0
3,0,2,0,11,2600,1.215302,0,0.043494,45,0
8,0,1,0,7,7000,0.18026,0,0.475976,41,0
0,0,0,0,4,?,78,0,0.061654,64,0
2,0,0,0,11,10000,0.40196,1,1,46,1
2,0,2,0,16,17120,0.431108,0,0.383237,49,0
0,0,0,0,15,1800,0.230983,0,0.00208,72,0
0,0,0,0,1,5000,0.10218,0,1,31,1
1,0,1,3,3,3586,0.926122,1,0.644071,49,1
0,0,2,0,15,7444,0.314708,0,0.030992,32,0
2,0,0,0,5,2250,0.057308,0,0.927036,41,1
2,0,0,0,11,10791,0.082839,0,0.142941,31,0
0,0,1,0,3,?,1375,0,0.024705,55,0
0,0,1,0,11,5000,0.463107,0,0.597039,42,0
0,0,0,1,3,2500,0.287885,0,0.831169,33,1
0,0,0,0,2,0,0,0,1,22,1
0,0,6,0,15,11787,0.430692,0,0.388857,69,0
1,0,1,0,7,4500,0.289936,0,0.176226,50,0
0,0,1,0,5,6000,0.382436,0,0.025402,54,0
1,0,0,0,4,3519,0.1375,0,0.316026,29,0
1,0,2,0,8,11000,0.450505,0,0.480039,54,0
0,0,0,0,2,5501,0.010723,0,0.278544,62,0
1,0,1,0,6,?,1001,1,0.078058,60,0
0,0,0,0,3,1666,0.010198,0,0.093001,63,0
0,1,0,0,5,3833,0.034168,2,1.563273,62,1
1,0,2,0,10,5153,0.289484,0,0.017364,76,0
1,0,1,0,3,2664,0.097561,0,0,62,0
2,0,1,0,17,10500,0.418532,1,0.003642,48,0
2,0,1,0,13,5700,0.382214,0,0.212517,49,0
0,1,1,1,9,?,3452,0,0.921543,39,1
0,0,0,0,9,4750,0.167754,0,0.533876,58,0
2,0,1,0,8,7083,0.404997,1,0.67469,53,1
1,0,2,0,8,9166,0.416167,0,0.759832,58,0
0,0,1,0,5,1751,1.123858,0,0.24702,28,0
1,0,2,0,7,8000,0.264967,1,0.372042,54,0
0,0,1,0,18,8791,0.428458,0,0.239686,55,0
0,0,1,0,10,?,745,0,0.062614,62,0
1,0,0,0,21,4500,0.009331,0,0.011606,74,0
